Category,Forecast Status,Account,Swimlane,Initiative,Group Initiative,Project,Feature,TI Prognos,PO Prognos,PRQ Prognos,TI Date,PO Date,PRQ Date,Division,CCRU,Cost Center,202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512,202601,202602,202603,202604,202605,202606,202607,202608,202609,202610,202611,202612,202701,202702,202703,202704,202705,202706,202707,202708,202709,202710,202711,202712,202801,202802,202803,202804,202805,202806,202807,202808,202809,202810,202811,202812,202901,202902,202903,202904,202905,202906,202907,202908,202909,202910,202911,202912,203001,203002,203003,203004,203005,203006,203007,203008,203009,203010,203011,203012
Burden,Above the Line,Exempt Headcount,Commercial,Regional Commuter,GI1- Falcon Connect,Structure,Frame,ww01 2025,ww26 2026,ww26 2028,01/01/2025,06/22/2026,06/27/2028,North,Design,Design Concept,11448,6313,9537,9873,11523,12858,7486,7581,12045,10437,15050,11133,4686,4991,4727,3079,3819,4886,4230,5202,3464,2833,5158,4991,2695,3963,2708,1504,2608,3454,3146,3514,2107,2013,2925,3422,2002,2538,2748,3929,3247,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burden,Above the Line,Exempt Headcount,Commercial,Regional Commuter,GI1- Falcon Connect,Structure,Frame,ww01 2025,ww26 2026,ww26 2028,01/01/2025,06/22/2026,06/27/2028,North,Design,Design Validation,9492,6072,8186,10205,10267,12911,7320,7328,10893,9587,13570,9811,4586,4105,4311,2876,3506,4903,3918,4701,3461,2717,4365,5147,2811,3886,2574,1556,3022,3030,2930,3355,1928,2023,2505,2832,1793,2565,2375,3235,3153,1675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burden,Above the Line,Exempt Headcount,Commercial,Regional Commuter,GI1- Falcon Connect,Structure,Frame,ww01 2025,ww26 2026,ww26 2028,01/01/2025,06/22/2026,06/27/2028,North,Prototype,Prototype Dev,20318,13550,18938,21798,23999,26059,16273,15266,22076,20231,25703,20206,9493,9039,9481,6211,7021,10954,7754,11187,6921,5940,10380,10176,5451,8225,5103,3183,5342,6373,6735,6832,4192,3896,5731,6692,4110,4848,5141,7599,6219,3700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burden,Above the Line,Exempt Headcount,Commercial,Regional Commuter,GI1- Falcon Connect,Structure,Frame,ww01 2025,ww26 2026,ww26 2028,01/01/2025,06/22/2026,06/27/2028,North,Prototype,Prototype Testing,24094,15079,21359,25491,23564,29748,16455,16791,27286,23908,35166,23879,10476,12313,11275,7193,7913,11726,8865,12325,7881,7482,12240,11841,6691,9128,5657,3558,6342,6798,7963,8265,4696,5108,7090,7843,4599,5504,5453,8388,7640,4152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burden,Above the Line,Exempt Headcount,Commercial,Regional Commuter,GI1- Falcon Connect,Structure,Frame,ww01 2025,ww26 2026,ww26 2028,01/01/2025,06/22/2026,06/27/2028,North,Scaling,Scale Planning,20567,13728,17670,20812,27133,25976,15320,15050,22859,19261,27858,22482,10013,9877,9558,6339,7051,10345,8017,9804,6602,6180,10412,11008,6188,7351,5427,3243,5397,6369,6581,7095,3800,4254,5781,6279,4473,4698,4993,7378,6339,3839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSD,Above the Line,CW,Commercial,Regional Commuter,GI1- Falcon Connect,Structure,Frame,ww01 2025,ww26 2026,ww26 2028,01/01/2025,06/22/2026,06/27/2028,North,Scaling,Scale Ops,23564,14640,21251,22465,25346,30245,17218,17189,22635,22876,34465,20136,10734,10118,10542,6455,7835,11627,9915,11185,8034,6379,11504,12076,6513,8219,5917,3510,6341,8151,7499,7738,4550,4466,6049,7584,4147,5850,5499,8538,7645,4730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burden,Above the Line,Exempt Headcount,Commercial,Regional Commuter,GI1- Falcon Connect,Structure,Frame,ww01 2025,ww26 2026,ww26 2028,01/01/2025,06/22/2026,06/27/2028,South,Manufacturing,MFG Assembly,25466,16679,20758,26656,23954,31228,18967,19216,27680,23402,31700,24082,11289,11767,11304,6923,8086,12444,9683,11651,8732,6749,12733,12683,6651,9208,6701,3997,6428,8058,8027,8224,5053,5209,7335,7567,5153,6321,6154,9260,7996,4774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSD,Above the Line,CW,Commercial,Regional Commuter,GI1- Falcon Connect,Structure,Frame,ww01 2025,ww26 2026,ww26 2028,01/01/2025,06/22/2026,06/27/2028,South,Manufacturing,MFG Quality,18374,12252,17305,15631,20870,23166,13716,14155,21421,16480,25284,16547,8723,8625,8425,5761,6775,9828,7847,8205,6299,5254,9463,8732,5348,7660,4735,2791,4679,5745,5727,6400,3609,3624,5018,6141,3473,4052,4869,6593,5653,3415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burden,Above the Line,Exempt Headcount,Commercial,Regional Commuter,GI1- Falcon Connect,Structure,Frame,ww01 2025,ww26 2026,ww26 2028,01/01/2025,06/22/2026,06/27/2028,South,Certification,Cert Compliance,15129,10159,14254,15655,17550,20273,12567,12269,15523,15755,21243,16683,7339,7667,7169,4296,5584,7494,5891,7598,5320,4371,7519,8132,4261,5848,4145,2421,4226,5093,5330,5667,2900,3114,4008,4797,3202,3620,3942,5489,4840,3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
